Designator,Mid X,Mid Y,Rotation,Layer
C1,121.227536,-44.591,270.0,top
C10,125.4519,-35.6497,270.0,top
C11,132.2324,-38.354,0.0,top
C2,121.227536,-47.6136,90.0,top
C20,123.932336,-50.179,0.0,top
C21,126.955536,-50.179,180.0,top
C5,132.461,-40.2082,0.0,top
C6,132.474,-41.7322,0.0,top
C7,130.028336,-46.4706,180.0,top
J1,128.7078,-43.1526,0.0,bottom
L2,128.4319,-38.7604,0.0,top
R1,128.9498,-35.879,270.0,bottom
R10,134.2136,-36.2732,90.0,top
R18,132.1697,-34.8877,0.0,top
R19,130.028136,-44.9466,0.0,top
R2,131.526736,-48.0708,180.0,top
R3,127.4064,-35.879,270.0,bottom
R4,124.9426,-35.9034,270.0,bottom
R48,129.0828,-29.6164,90.0,bottom
R49,125.73,-29.6286,90.0,bottom
R9,121.964136,-42.305,0.0,top
U1,122.2056,-36.4212,270.0,bottom
U2,125.127536,-46.2954,270.0,top
U3,127.5304,-30.6496,180.0,top
U4,133.6548,-45.0088,90.0,top
U5,128.5649,-35.6567,180.0,top
